,station_name,station_latitude,station_longitude,fsq_id,poi_name,poi_id,poi_category,poi_distance
3933,Melville & Bute,49.287782,-123.12395,51a8b3eb8bbd7647a230a356,Smak Healthy Fast Food,13145,Fast Food Restaurant,195
3934,Melville & Bute,49.287782,-123.12395,53bf6aa3498e4815fa520196,Subway,13039,Deli,219
3935,Melville & Bute,49.287782,-123.12395,5de03780b298290008a4ed0c,Sushi California,13276,Sushi Restaurant,191
3936,Melville & Bute,49.287782,-123.12395,4e5d54d8a8092f639683502d,Symphonie Restaurant,13049,Diner,193
3937,Melville & Bute,49.287782,-123.12395,5e6412aff9a51000089e6f7c,Turf,13035,Coffee Shop,195
3938,Melville & Bute,49.287782,-123.12395,5888e7aa0319b851c832417f,Body Energy Club,13059,Juice Bar,197
3939,Melville & Bute,49.287782,-123.12395,617df7621bea062d56303895,Jang Mo Jib,13289,Korean Restaurant,198
3940,Melville & Bute,49.287782,-123.12395,625e0e31e83da87486b8a158,Red Burrito,13305,Burrito Restaurant,203
3941,Melville & Bute,49.287782,-123.12395,59330b94e185f327ff54c37c,Neptune Chinese Kitchen,13099,Chinese Restaurant,205
3942,Melville & Bute,49.287782,-123.12395,634c8936c9f4bf258ea9ea8f,Archer Dining,13338,Seafood Restaurant,219
3943,Melville & Bute,49.287782,-123.12395,60c2d2dd590f1b018a0d3ea4,Miantiao,13236,Italian Restaurant,226
3944,Melville & Bute,49.287782,-123.12395,60908ce29dfe325b4e3f1450,Captain's Oven Pizza,13064,Pizzeria,229
3945,Melville & Bute,49.287782,-123.12395,61ab03959f036e7986eda3ff,Carlino Restaurant,13236,Italian Restaurant,230
3946,Melville & Bute,49.287782,-123.12395,55d101a3498e5b80ff25cbf9,Victoria Chinese Restaurant,13106,Dim Sum Restaurant,302
3947,Seymour & Cordova,49.28512,-123.11242,4aa9a524f964a520ae5420e3,Rogue Kitchen & Wetbar,13003,Bar,41
3948,Seymour & Cordova,49.28512,-123.11242,4aa9614ff964a520615320e3,Tim Hortons,13032,"Cafes, Coffee, and Tea Houses",23
3949,Seymour & Cordova,49.28512,-123.11242,4aa6bc27f964a520df4a20e3,Steamworks Brewing Co,13003,Bar,70
3950,Seymour & Cordova,49.28512,-123.11242,5b29b2bafe63bd002c253c49,Chronic Tacos,13303,Mexican Restaurant,64
3951,Seymour & Cordova,49.28512,-123.11242,530272b5498ebf98dce9de5d,Fatburger,13031,Burger Joint,36
3952,Seymour & Cordova,49.28512,-123.11242,584061d84287c95a4ef192c9,Booster Juice,13059,Juice Bar,62
3953,Seymour & Cordova,49.28512,-123.11242,62e7f57d8cd81b5c81e2ab56,Deville Coffee,13034,Café,25
3954,Seymour & Cordova,49.28512,-123.11242,4acced76f964a52015ca20e3,Kita No Donburi,13276,Sushi Restaurant,80
3955,Seymour & Cordova,49.28512,-123.11242,55831809498eb7238a4bd305,Pholicious,13379,Vietnamese Restaurant,90
3956,Seymour & Cordova,49.28512,-123.11242,4beb024e6295c9b62d298708,Japadog - Waterfront Skytrain Station,13058,Hot Dog Joint,79
3957,Seymour & Cordova,49.28512,-123.11242,56fd8201498e01c863d68502,Teppan Kitchen,13072,Asian Restaurant,48
